name,Epithelial,Lymphocyte,Macrophage,Neutrophil
TCGA-05-4249,345,0,15,0
TCGA-05-4382,30037,2477,4321,3
TCGA-05-4398,276977,5103,130817,14
TCGA-05-4405,21571,1023,15484,3
TCGA-05-4417,58953,3891,13782,1
TCGA-05-4420,81288,1448,50241,7
TCGA-05-4427,275480,6974,49054,4
TCGA-05-4430,65955,2025,16314,3
TCGA-05-5428,353,78,84,5
TCGA-38-4626,501895,36228,11045,4039
TCGA-38-6178,372252,83631,10654,7838
TCGA-44-2655,4651,959,46,48
TCGA-44-2657,41422,9557,659,477
TCGA-44-2659,7919,3720,162,181
TCGA-44-2661,234874,125833,6222,5147
TCGA-44-3396,197566,48207,1327,8841
TCGA-44-3398,13281,599,71,82
TCGA-44-3917,132085,11956,1141,774
TCGA-44-3919,25528,14303,832,408
TCGA-44-5643,268362,33548,727,685
TCGA-44-6145,39838,5598,255,491
TCGA-44-6148,114152,29449,3728,531
TCGA-44-6774,87832,16056,722,4866
TCGA-44-6776,66373,11214,4688,242
TCGA-44-6778,148984,77157,833,3641
TCGA-44-7659,37581,12074,472,223
TCGA-44-7660,269274,31395,1580,423
TCGA-44-7661,0,0,0,0
TCGA-44-7667,83643,22219,1532,7596
TCGA-44-7670,17964,1426,765,457
TCGA-44-7671,4384,1035,133,45
TCGA-44-7672,42788,31964,467,822
TCGA-44-A479,292213,106605,401,379
TCGA-44-A47A,175685,43277,479,122
TCGA-44-A4SS,80974,11237,921,1523
TCGA-49-4505,328572,186783,25676,13629
TCGA-49-4506,663123,278281,62964,110449
TCGA-49-4510,298231,82141,17539,9980
TCGA-49-4514,193694,164065,5756,12577
TCGA-49-6742,269387,80358,10123,18966
TCGA-49-6743,666626,132002,12180,33135
TCGA-49-6744,61284,105368,2883,3089
TCGA-49-6745,1872640,427528,41039,25106
TCGA-49-AAQV,381995,169073,27696,7506
TCGA-49-AAR0,403388,106440,18384,7521
TCGA-49-AAR2,117221,134676,2716,2650
TCGA-49-AAR3,55498,144546,651,1608
TCGA-49-AARE,87177,70437,4558,1499
TCGA-49-AARO,121847,81884,12450,3208
TCGA-49-AARQ,300332,46950,5594,1162
TCGA-4B-A93V,223250,41084,2009,4441
TCGA-50-5044,15590,1640,573,257
TCGA-50-5045,49595,4485,1216,1186
TCGA-50-5055,39658,8801,565,559
TCGA-50-5066,999710,187800,23231,8999
TCGA-50-5068,243474,103562,15857,6321
TCGA-50-5931,551475,25319,6482,7475
TCGA-50-5942,747837,113398,14072,3182
TCGA-50-5946,276605,137655,12615,11855
TCGA-50-6593,171621,13843,11689,1650
TCGA-50-6594,56606,2592,3544,410
TCGA-50-7109,88998,77910,4358,2540
TCGA-50-8457,212152,56660,10943,1971
TCGA-53-7624,345087,59807,7587,6242
TCGA-53-7626,79026,66781,6458,3971
TCGA-55-1596,145465,21500,16251,691
TCGA-55-5899,99104,7331,1367,1168
TCGA-55-6543,66370,3549,1779,493
TCGA-55-6642,172013,18324,4027,1257
TCGA-55-6970,252476,17287,13124,424
TCGA-55-6971,59038,13000,1643,1060
TCGA-55-6979,323485,21339,2656,1438
TCGA-55-6980,106282,18887,5416,1076
TCGA-55-6982,27801,2419,1246,74
TCGA-55-6983,10587,1386,1014,161
TCGA-55-6986,82661,15294,5800,288
TCGA-55-6987,11887,4515,131,396
TCGA-55-7227,174286,6584,6536,799
TCGA-55-7281,59832,9761,3240,346
TCGA-55-7283,19158,2473,815,231
TCGA-55-7570,28262,1224,832,164
TCGA-55-7573,102731,6225,3506,208
TCGA-55-7574,92313,6141,1787,1023
TCGA-55-7576,61133,8915,2964,305
TCGA-55-7724,1761,89,57,6
TCGA-55-7725,30479,2050,829,129
TCGA-55-7726,41448,8730,1427,246
TCGA-55-7728,21663,3534,531,111
TCGA-55-7815,160385,13557,3357,585
TCGA-55-7903,82541,2321,1276,716
TCGA-55-7907,104019,3838,2330,117
TCGA-55-7994,151734,16100,1783,947
TCGA-55-7995,167815,7408,1812,60
TCGA-55-8085,70336,3745,1712,350
TCGA-55-8087,172025,18365,5086,438
TCGA-55-8090,50698,2247,1121,223
TCGA-55-8091,69086,5049,2551,1347
TCGA-55-8092,83946,5043,545,226
TCGA-55-8094,18334,1025,1938,535
TCGA-55-8096,77227,3386,2844,621
TCGA-55-8097,36191,6446,1845,254
TCGA-55-8203,33183,7109,1270,1050
TCGA-55-8204,4313,783,74,106
TCGA-55-8205,98311,6832,2624,456
TCGA-55-8206,21707,649,640,75
TCGA-55-8207,411,116,34,6
TCGA-55-8208,61442,74450,3345,13478
TCGA-55-8301,7413,7814,420,168
TCGA-55-8302,7073,1740,284,87
TCGA-55-8505,1059,94,113,16
TCGA-55-8507,340448,45222,10047,9689
TCGA-55-8508,9401,2167,728,1323
TCGA-55-8510,45931,4285,3339,211
TCGA-55-8513,7950,259,640,96
TCGA-55-8514,93761,5199,8111,254
TCGA-55-8614,65610,3234,2221,1278
TCGA-55-8615,207633,21086,4428,9429
TCGA-55-8619,50112,7185,3275,3143
TCGA-55-8621,78791,3415,1496,378
TCGA-55-A48Y,22933,1278,1411,922
TCGA-55-A48Z,95572,5054,6073,596
TCGA-55-A491,32077,5879,1604,300
TCGA-55-A492,16654,3489,904,87
TCGA-55-A494,298440,1210,9155,233
TCGA-55-A4DF,41535,3031,1103,464
TCGA-55-A4DG,17931,2564,724,147
TCGA-55-A57B,10919,1183,94,27
TCGA-62-A46O,207667,17038,6268,1052
TCGA-62-A46P,20475,5326,1320,130
TCGA-62-A46S,17951,13186,599,177
TCGA-62-A46V,11959,2108,546,6
TCGA-62-A470,246648,14545,9077,719
TCGA-62-A471,314106,92507,8694,7307
TCGA-62-A472,51400,68508,2164,2045
TCGA-64-1676,40468,32697,764,691
TCGA-64-1678,1056,5552,145,732
TCGA-64-1679,3922,2844,557,464
TCGA-64-1680,26679,7620,965,1886
TCGA-64-5774,2104,9162,165,399
TCGA-64-5778,4775,12748,336,361
TCGA-78-8660,248309,53356,17521,34232
TCGA-83-5908,190911,51092,507,1747
TCGA-86-7701,44,3,0,5
TCGA-86-7711,38,5,9,14
TCGA-86-7713,273182,18188,10537,3465
TCGA-86-7953,1805,339,40,220
TCGA-86-7955,40,30,22,20
TCGA-86-8054,173210,17647,9779,17421
TCGA-86-8073,12,121,0,207
TCGA-86-8075,895,955,63,1099
TCGA-86-8076,1949,1799,766,7714
TCGA-86-8279,246420,38024,9952,3833
TCGA-86-8358,322518,102666,11043,17439
TCGA-86-8668,126082,29852,7619,1594
TCGA-86-8669,978937,279566,19409,13413
TCGA-86-8671,1821,19978,275,1077
TCGA-86-8673,2550,2379,914,4043
TCGA-86-8674,1371,3222,231,1532
TCGA-86-A456,72177,42867,16533,16777
TCGA-86-A4JF,213423,98520,26347,48509
TCGA-86-A4P7,2327,2176,171,123
TCGA-86-A4P8,81020,23568,1426,3578
TCGA-91-A4BD,186469,41196,5127,1243
TCGA-93-7347,55538,85043,4935,4295
TCGA-93-A4JN,438036,159668,28708,17415
TCGA-93-A4JP,139438,12580,6814,2890
TCGA-95-7567,330563,321947,10839,2426
TCGA-95-7944,372127,259104,4795,6015
TCGA-95-7947,76816,16785,976,215
TCGA-95-7948,396677,88198,6286,1552
TCGA-95-8039,1,20,1,7
TCGA-95-A4VK,432586,173265,9983,14423
TCGA-95-A4VN,885199,410637,6640,3244
TCGA-97-7547,111598,134044,3915,6007
TCGA-97-7553,17299,29719,815,2253
TCGA-97-7554,220519,71417,7131,1872
TCGA-97-7937,734082,85908,11340,1164
TCGA-97-8171,326942,25085,8937,1903
TCGA-97-8172,479181,343582,20328,5635
TCGA-97-8175,326383,76745,4098,2022
TCGA-97-8177,1064791,269353,42541,9165
TCGA-97-8179,85879,19320,2166,241
TCGA-97-8552,2112,702,48,12
TCGA-97-A4LX,58657,65868,2644,912
TCGA-97-A4M0,39910,49429,1007,242
TCGA-97-A4M1,98094,75989,2903,801
TCGA-97-A4M2,10217,173697,701,1899
TCGA-97-A4M5,35884,54292,2557,751
TCGA-97-A4M6,22726,30759,1350,475
TCGA-97-A4M7,332886,333170,14478,3337
TCGA-99-7458,175,55,10,1
TCGA-99-8025,69755,10643,4685,8243
TCGA-99-8028,23390,8402,2621,1039
TCGA-J2-8192,327141,30546,11011,1672
TCGA-J2-8194,1386706,89079,44089,20305
TCGA-L4-A4E6,32142,15752,1070,944
TCGA-L9-A50W,191797,62538,3300,698
TCGA-L9-A5IP,81192,9812,2147,1293
TCGA-L9-A743,115157,29559,2491,1031
TCGA-L9-A7SV,339278,204678,8732,4534
TCGA-L9-A8F4,320851,109457,13062,4145
TCGA-MN-A4N1,936353,202641,42953,7322
TCGA-MN-A4N4,316900,42880,22877,2163
TCGA-MP-A4SY,264264,41339,5859,5154
TCGA-MP-A4T9,6332,626305,1667,3199
TCGA-MP-A4TA,17,804,6,40
TCGA-MP-A4TD,329608,149144,14075,3123
TCGA-MP-A4TF,368427,169137,17534,13373
TCGA-MP-A4TH,23450,175273,1244,1425
TCGA-MP-A4TI,214354,73261,2128,3845
TCGA-MP-A5C7,360473,42366,14450,1399
TCGA-NJ-A4YF,615448,195165,6840,17881
TCGA-NJ-A4YG,18861,22236,1386,508
TCGA-NJ-A4YQ,49346,192338,5712,2384
TCGA-NJ-A55R,42364,50179,1596,1639
TCGA-O1-A52J,77708,63773,14369,5219
TCGA-S2-AA1A,19527,3279,940,72
